name,type,city,district,neighborhood,landAddress,streetAddress,longtitude,latitude
에이치엠커피,카페,서울특별시,마포구,연남동,서울특별시 마포구 연남동 487-378,서울특별시 마포구 성미산로 97,126.9181148,37.5615757
블룸스토리,국수/칼국수,서울특별시,마포구,연남동,서울특별시 마포구 연남동 383-90,서울특별시 마포구 동교로46길 42-20,126.9265434,37.56185087
오복수산시장,횟집,서울특별시,마포구,연남동,서울특별시 마포구 연남동 226-29,서울특별시 마포구 성미산로 195,126.9268257,37.56268239
스탠다드커리연남점,기타 동남아식 전문,서울특별시,마포구,연남동,서울특별시 마포구 연남동 240-1,서울특별시 마포구 성미산로 161-15,126.9235166,37.56531933
파리구르멍,빵/도넛,서울특별시,마포구,연남동,서울특별시 마포구 연남동 515-12,서울특별시 마포구 연남로3길 10,126.921875,37.56141187
봉구비어,생맥주 전문,서울특별시,마포구,연남동,서울특별시 마포구 연남동 260-25,서울특별시 마포구 동교로36길 3,126.9245707,37.56128328
오비베어연남점,생맥주 전문,서울특별시,마포구,연남동,서울특별시 마포구 연남동 260-29,서울특별시 마포구 동교로 238-1,126.9244936,37.56113841
아뜨뜨,백반/한정식,서울특별시,마포구,연남동,서울특별시 마포구 연남동 382-22,서울특별시 마포구 동교로38길 42-5,126.9255832,37.56093208
랫댓,피자,서울특별시,마포구,연남동,서울특별시 마포구 연남동 258-5,서울특별시 마포구 동교로 243-4,126.9241656,37.56191032
플렘므,카페,서울특별시,마포구,연남동,서울특별시 마포구 연남동 250-4,서울특별시 마포구 성미산로29길 3,126.9224911,37.56421972
무채색,경양식,서울특별시,마포구,연남동,서울특별시 마포구 연남동 381-15,서울특별시 마포구 동교로32길 19,126.9253955,37.56059699
욜로양꼬치,중국집,서울특별시,마포구,연남동,서울특별시 마포구 연남동 228-57,서울특별시 마포구 동교로 248,126.924505,37.56192242
멜티드,카페,서울특별시,마포구,연남동,서울특별시 마포구 연남동 241-90,서울특별시 마포구 성미산로29안길 27-7,126.923229,37.56564108
비스트로오라,경양식,서울특별시,마포구,연남동,서울특별시 마포구 연남동 260-60,서울특별시 마포구 동교로 244,126.9244995,37.5615169
꿀넹쿠키,빵/도넛,서울특별시,마포구,연남동,서울특별시 마포구 연남동 229-51,서울특별시 마포구 동교로 255-1,126.924515,37.56279652
연남파도,일식 회/초밥,서울특별시,마포구,연남동,서울특별시 마포구 연남동 240-28,서울특별시 마포구 성미산로 153-14,126.9231477,37.56500061
카페마가렛,빵/도넛,서울특별시,마포구,연남동,서울특별시 마포구 연남동 240-49,서울특별시 마포구 성미산로29길 10,126.9227915,37.56458288
헤도네,경양식,서울특별시,마포구,연남동,서울특별시 마포구 연남동 224-38,서울특별시 마포구 동교로 272-8,126.9260893,37.56352267
샹볼뮈지니,카페,서울특별시,마포구,연남동,서울특별시 마포구 연남동 568-51,서울특별시 마포구 월드컵북로6길 49,126.9208659,37.55917709
토라에몽,일식 회/초밥,서울특별시,마포구,연남동,서울특별시 마포구 연남동 241-41,서울특별시 마포구 성미산로29길 40-18,126.9225759,37.56540086
미앤미떡방,떡/한과,서울특별시,마포구,연남동,서울특별시 마포구 연남동 565-14,서울특별시 마포구 동교로27길 61,126.9207127,37.56038308
카페테드,카페,서울특별시,마포구,연남동,서울특별시 마포구 연남동 256-8,서울특별시 마포구 성미산로32길 51,126.9225917,37.56273393
연주방,백반/한정식,서울특별시,마포구,연남동,서울특별시 마포구 연남동 387-19,서울특별시 마포구 동교로46길 7,126.9253539,37.56270504
소점,요리 주점,서울특별시,마포구,연남동,서울특별시 마포구 연남동 487-278,서울특별시 마포구 성미산로17길 99,126.9170568,37.56585494
귀빈,요리 주점,서울특별시,마포구,연남동,서울특별시 마포구 연남동 229-64,서울특별시 마포구 동교로 253,126.9243822,37.56258807
반미프엉,베트남식 전문,서울특별시,마포구,연남동,서울특별시 마포구 연남동 241-30,서울특별시 마포구 성미산로29길 20,126.9224462,37.56497618
와인바별채,경양식,서울특별시,마포구,연남동,서울특별시 마포구 연남동 387-12,서울특별시 마포구 동교로 262-3,126.9254857,37.56298556
이와나시,일식 회/초밥,서울특별시,마포구,연남동,서울특별시 마포구 연남동 387-7,서울특별시 마포구 성미산로 190-8,126.9258742,37.56273681
롭다,카페,서울특별시,마포구,연남동,서울특별시 마포구 연남동 260-16,서울특별시 마포구 동교로38길 4,126.9245658,37.56162563
땅땅치킨연남점,치킨,서울특별시,마포구,연남동,서울특별시 마포구 연남동 228-10,서울특별시 마포구 동교로 268,126.9256399,37.56328431
미츠루,일식 회/초밥,서울특별시,마포구,연남동,서울특별시 마포구 연남동 387-4,서울특별시 마포구 동교로 266-8,126.9256443,37.562978
수앤싸이먼,카페,서울특별시,마포구,연남동,서울특별시 마포구 연남동 229-45,서울특별시 마포구 동교로41길 14,126.9239904,37.56307106
굽네치킨연남점,치킨,서울특별시,마포구,연남동,서울특별시 마포구 연남동 493-30,서울특별시 마포구 동교로27길 91,126.9197809,37.56141976
바결,일반 유흥 주점,서울특별시,마포구,연남동,서울특별시 마포구 연남동 381-3,서울특별시 마포구 동교로34길 17,126.9252772,37.56095633
월강돼지국밥,백반/한정식,서울특별시,마포구,연남동,서울특별시 마포구 연남동 258-14,서울특별시 마포구 동교로 241-1,126.9241136,37.56158547
리틀프레스커피,카페,서울특별시,마포구,연남동,서울특별시 마포구 연남동 227-15,서울특별시 마포구 성미산로 198,126.926751,37.56236635
씨브이엘랩,카페,서울특별시,마포구,연남동,서울특별시 마포구 연남동 373-7,서울특별시 마포구 동교로 227-13,126.9233994,37.56087615
"그냥,방실",경양식,서울특별시,마포구,연남동,서울특별시 마포구 연남동 240-34,서울특별시 마포구 성미산로 153-13,126.9229787,37.564945
물레방아에프앤비,요리 주점,서울특별시,마포구,연남동,서울특별시 마포구 연남동 223-14,서울특별시 마포구 성미산로 161-10,126.9238573,37.56524135
크루이프14,카페,서울특별시,마포구,연남동,서울특별시 마포구 연남동 373-10,서울특별시 마포구 동교로 227-11,126.9234915,37.56076886
