,title,link,view,upload_date,video_pk
0,연남동 맛집 빠르고 쉽게 정리 #연남동 #연남동맛집 #연남동데이트,https://www.youtube.com/shorts/ONlPCc8D-xU,1천회,1개월 전,ONlPCc8D-xU
1,[Day +257] 연남동 숨겨진 프토 맛집 발견!✨,https://www.youtube.com/shorts/elfi4eEJsto,4.6만회,2주 전,elfi4eEJsto
2,"리뷰만 13,000개 넘게 달린 연남동 맛집",https://www.youtube.com/shorts/3_UzuQpIiKU,9.2천회,3개월 전,3_UzuQpIiKU
3,맛잘알 구독자들이 알려준 홍대 맛집 투어,https://www.youtube.com/shorts/rz0QQn6BN08,48만회,5개월 전,rz0QQn6BN08
4,#연남동데이트 #홍대맛집 #오이시쿠 #데이트맛집 #먹방,https://www.youtube.com/shorts/fveAuS1bXeg,2.7천회,23시간 전,fveAuS1bXeg
5,연남 필수 코스 타코집... 무조건 들리세요,https://www.youtube.com/shorts/W09bKpBBJDM,7.8천회,14시간 전,W09bKpBBJDM
6,연남동 맛집 여기 꼭가세요.. 🔥#shorts,https://www.youtube.com/shorts/jALANrv9-WQ,6.1만회,1년 전,jALANrv9-WQ
7,연남동 맛집 TOP5,https://www.youtube.com/shorts/457eyDz5zzM,338회,10일 전,457eyDz5zzM
8,두 그릇 같은 한 그릇이 나오는 연남동 맛집,https://www.youtube.com/shorts/U3vzacL7tyI,7.6만회,1개월 전,U3vzacL7tyI
9,#연남물갈비 #연남물갈비홍대본점 #홍대맛집추천 #물갈비맛집 #홍대입구역맛집추천 #연남동맛집추천 #산더미물갈비 #물갈비 #맛집추천 #mukbang #먹중사,https://www.youtube.com/shorts/LKGKsZCHYYY,9.9천회,4일 전,LKGKsZCHYYY
10,연남동 맛집 로야토야 오마카세 점심 후기,https://www.youtube.com/shorts/wBMUteVydaA,457회,1년 전,wBMUteVydaA
11,홍대 맛집 찾지마세요 #연남타코 #연남동 #연남동맛집 #홍대맛집 #홍대 #홍대술집 #홍대데이트 #타코 #타코맛집 #파히타 #대창 #대창맛집 #대창먹방 #맛집 #맛집추천 #맛집소개,https://www.youtube.com/shorts/vDafHBx84A4,3.1천회,1개월 전,vDafHBx84A4
12,이래서 연남동 연남동 하는구나_여보야 나 오늘도 네발로 들어가 #연남동맛집 #중화복춘 #낮술,https://www.youtube.com/shorts/7OM0JlOFhgc,1.7만회,1년 전,7OM0JlOFhgc
13,연남동 맛집 감나무집 기사식당 리뷰,https://www.youtube.com/shorts/6coGLKaHchE,4.5천회,1년 전,6coGLKaHchE
14,"연남동 줄서서먹는 맛집 연하동 연어국수, 꼬꼬동 #shorts #연남동맛집 #연어국수 #연남동 #홍대맛집",https://www.youtube.com/shorts/zKdiwuUuVh0,1만회,1년 전,zKdiwuUuVh0
15,#유메오뎅 #유메오뎅연남점 #연남동맛집 #연남맛집 #야장맛집 #맛집추천 #연남핫플 #연남동데이트 #홍대맛집 #연남동술집 #먹중사 #koreafood,https://www.youtube.com/shorts/IVnQdQL4S4g,1.4만회,3주 전,IVnQdQL4S4g
16,#연남동맛집 #홍대맛집 #타코 연남동 최애 음식점,https://www.youtube.com/shorts/A5qqTBZA_iY,28만회,1개월 전,A5qqTBZA_iY
17,감탄만 나오는 곳🤭 #연남동맛집 #옥자,https://www.youtube.com/shorts/9n9xNWH7-yI,447회,2주 전,9n9xNWH7-yI
18,너무 유명 해질까봐 간판도 없고 입구도 숨겨놓은 찐맛집 🤫,https://www.youtube.com/shorts/u85RR-TiCI0,171만회,1년 전,u85RR-TiCI0
19,#연남동맛집BEST 한입 먹자마자 여기가 무릉도,https://www.youtube.com/shorts/Tv9sRTXEzbI,2.9만회,4년 전,Tv9sRTXEzbI
20,국숯집 #점심#연남동#국숯집#최고다 #홍대맛집 #연남동맛집,https://www.youtube.com/shorts/85njaxMqpEs,1.4천회,11개월 전,85njaxMqpEs
21,썸 끝내고 싶다면 여기 데려가면 됨 “ 연남느루 “ #연남동 #연남동맛집 #연남동데이트,https://www.youtube.com/shorts/V_DmUkf2RDQ,2.1천회,1년 전,V_DmUkf2RDQ
